4.2373,4.3574,5.7418,6.0323,6.5833,7.3156,7.3748,7.6563,7.7459,7.7661,7.8294,8.4496,8.5739,8.7914,9.3977,9.5758,9.6569,9.6617,9.6705,9.8115,10.063,10.234,10.407,10.474,10.737,10.973,11.001,11.172,11.265,11.424,11.583,11.587,11.846,12.092,12.296,12.335,12.737,12.772,12.921,13.031,13.443,13.633,13.809,14.15,14.619,14.924,15.521,15.668,15.703,15.746,15.884,17.572,17.914,18.003,19.78,20.441,26.789,26.836,30.53,42.535
4.2968,4.4617,5.8782,7.139,7.5596,7.5613,7.8779,8.5899,8.5986,8.6655,8.7192,9.1165,9.158,9.1827,9.9444,9.991,10.26,10.398,10.408,10.529,10.731,10.909,11.048,11.076,11.466,11.554,11.803,12.317,12.317,12.427,12.431,12.491,12.61,12.686,12.736,12.743,12.765,12.974,13.164,13.357,13.458,13.624,13.818,14.365,14.393,14.699,15.143,16.093,16.295,16.57,16.784,16.869,18.14,19.331,19.605,23.568,25.063,27.662,31.331,40.822
3.4964,4.6948,6.7184,7.6067,7.6894,7.8586,7.9242,8.0046,8.0689,8.1653,8.8526,9.2322,9.3208,9.345,9.8092,9.8094,9.8375,9.8765,10.109,10.156,10.421,10.657,10.682,10.84,11.212,11.637,11.912,12.304,12.38,12.447,12.478,12.693,12.786,12.789,13.249,13.339,13.374,13.522,13.695,13.761,13.78,13.854,14.198,14.566,15.499,15.779,15.868,16.11,16.59,16.924,17.023,17.191,17.722,17.921,17.959,21.489,27.173,27.478,32.205,41.077
4.0078,4.618,5.6633,6.5993,6.8445,6.8683,7.6448,8.0185,8.1099,8.6056,8.9048,9.1117,9.1493,9.2099,9.3975,9.5574,9.6798,9.9825,10.044,10.369,10.573,10.801,11.342,11.545,11.734,12.058,12.232,12.276,12.323,12.418,12.719,12.815,13.053,13.399,13.464,13.718,13.73,14.392,14.526,14.654,14.829,14.89,15.257,15.406,15.977,15.998,16.17,17.083,17.308,17.34,17.766,17.973,18.622,19.028,19.465,20.192,25.964,28.064,34.334,43.98
2.1704,3.6844,5.4687,5.8362,6.4582,7.2674,7.2845,7.6259,7.801,7.9002,8.0271,8.2147,9.1023,9.1498,9.4373,9.9287,10.131,10.896,11.058,11.225,11.341,11.374,11.473,11.624,11.793,11.926,11.999,12.24,12.415,12.622,12.662,12.774,12.779,12.958,13.094,13.186,13.592,13.637,14.145,14.18,14.368,14.625,14.827,14.929,15.04,15.333,15.444,15.546,16.719,16.921,17.102,17.453,18.407,19.023,19.796,22.533,26.836,27.159,33.586,40.559
0.12864,3.9982,5.9619,5.9832,6.0817,6.5583,6.6007,7.1023,7.4269,7.9008,8.1086,8.2883,8.5381,9.2213,9.5363,9.6154,9.6689,9.6841,9.9729,9.9903,10.077,10.096,10.406,10.533,10.578,11.057,11.317,11.318,11.377,11.381,11.628,11.755,11.785,11.988,12.272,12.604,12.746,12.976,13.037,13.056,13.293,13.509,13.729,14.269,14.283,14.856,15.641,15.695,15.873,16.208,18.165,18.514,18.58,18.62,19.593,21.391,26.227,28.268,33.112,43.323
2.7451,4.9589,5.3996,5.7727,6.1366,7.3954,7.8133,8.7861,9.1032,9.2416,9.4367,9.5136,9.5511,9.7321,9.8786,9.9194,10.303,10.472,10.818,11.085,11.111,11.223,11.324,11.418,11.618,11.622,11.876,12.211,12.33,12.545,12.715,12.787,12.798,12.816,12.968,13.082,13.169,13.254,13.586,13.791,13.991,14.216,14.255,14.999,15.356,16.591,16.607,16.695,16.966,17.167,18.465,18.622,18.667,19.059,19.977,23.407,26.785,27.259,34.282,40.243
4.4285,4.6268,5.2191,5.8015,6.4467,7.3606,7.8835,7.9973,8.606,8.6651,8.7758,8.8213,9.0197,9.7415,10.043,10.221,10.221,10.368,10.462,10.673,10.816,10.957,11.062,11.067,11.142,11.415,11.815,12.136,12.171,12.263,12.445,12.468,12.498,12.677,13.036,13.283,13.348,13.426,13.583,13.966,14.428,14.517,14.621,14.649,14.699,14.85,15.091,15.299,16.034,16.085,16.315,16.668,17.47,18.412,18.905,21.341,26.425,29.022,34.508,42.494
3.5713,4.0934,5.6583,6.2784,7.2932,7.2982,7.598,7.8076,7.8479,8.1724,8.2028,8.3432,8.4848,8.4966,8.5844,8.6313,8.6848,8.8603,8.9067,8.9123,9.1025,9.1112,9.2173,9.667,10.102,10.217,10.364,10.598,10.933,11.025,11.056,11.376,11.482,11.641,11.989,12.127,12.15,12.338,12.421,12.785,12.949,13.058,13.063,13.638,14.335,14.419,14.766,14.796,15.308,15.323,15.448,15.634,17.309,18.619,19.718,20.544,25.513,26.422,30.612,42.219
2.0959,2.3166,3.152,3.9698,6.6266,6.6592,8.0983,8.4593,8.6689,8.9547,9.1861,9.4037,9.4118,9.8033,9.9632,9.9761,10.097,10.145,10.177,10.407,10.412,10.761,10.88,11.572,11.792,11.8,11.901,12.078,12.154,12.398,12.549,12.549,12.714,12.741,12.813,13.127,13.292,13.5,13.597,14.106,14.125,14.225,14.327,14.452,14.885,14.905,15.534,15.703,15.758,15.98,16.064,17.487,19.487,19.893,19.945,21.546,26.816,27.979,31.181,44.305
